scenario,seed,video,interaction_mode,object_count,contact_metric_valid,expected_angle_deg,goal_completion,goal_progress_diameters,goal_progress_px,direction_alignment,contact_causality,motion_stability,flow_consistency,track_visibility,projectile_onset_frame,target_onset_frame,contact_frame,minimum_gap_px,target_diameter_px,forward_motion_fraction,reverse_motion_fraction,precontact_motion_fraction,postcontact_response,collision_approach_score,collision_transfer_alignment,target_noise_threshold_px,postcontact_displacement_diameters,mask_area_change_robust,trajectory_jerk_norm,track_mask_disagreement_norm,rank,goal_completion_norm,direction_alignment_norm,contact_causality_norm,motion_stability_norm,flow_consistency_norm,fold,verifier_score,verifier_rank
ball_dominos,5,ball_dominos_seed5,collision,2,1,5.0,0.52679,0.748216,33.04,0.786983,0.803755,0.86636,0.92089,0.998071,3,20,20,0.0,44.159,0.892947,0.050528,0.028363,0.973767,0.898715,0.999899,0.12,0.56473,0.007216,0.004849,0.012413,3,0.16692386575203344,1.0,0.7733834167601975,0.5696372891293341,0.5544545837020697,held_out_ball_dominos,0.34686557732331363,3
ball_dominos,6,ball_dominos_seed6,collision,2,1,5.0,0.44296,0.585119,25.348,0.474996,0.859078,0.898657,0.882672,0.994599,1,18,18,0.0,43.321,0.720675,0.166753,0.0,0.947851,0.906343,0.998177,0.12,0.461405,0.005654,0.004026,0.007119,1,0.0,0.2679111131969213,1.0,1.0,0.0,held_out_ball_dominos,0.30000000000000004,4
ball_dominos,7,ball_dominos_seed7,collision,2,1,5.0,0.945165,2.903427,133.638,0.765549,0.614952,0.823611,0.951601,1.0,1,18,18,0.0,46.028,0.765549,0.0,0.06961,0.933945,0.811361,0.988849,0.12,0.447618,0.008811,0.009153,0.01068,4,1.0,0.9497043363994745,0.0,0.0,1.0,held_out_ball_dominos,0.7,1
ball_dominos,8,ball_dominos_seed8,collision,2,1,5.0,0.544513,0.786388,34.931,0.360823,0.798436,0.892874,0.893148,0.999228,1,14,14,0.955,44.42,0.632835,0.224729,0.0,0.982661,0.904736,0.999347,0.12,0.615462,0.006122,0.004466,0.006559,2,0.20221423522266804,0.0,0.7515954875760879,0.9229405964341858,0.151982474720365,held_out_ball_dominos,0.3962744566500833,2
bulb,5,bulb_seed5,direct_actuation,2,1,0.0,0.772765,1.481769,73.138,0.123406,0.771951,0.124737,0.851992,0.347222,1,8,0,0.0,49.358,0.3671,0.436061,0.0,0.951342,,,,0.45344,0.176135,0.043912,0.077783,4,0.9455438908710299,0.0,0.586631497488759,0.04793210133280383,0.0,held_out_bulb,0.44167391623056823,3
bulb,6,bulb_seed6,direct_actuation,2,1,0.0,0.441228,0.582014,33.479,0.152847,0.539984,0.479547,0.942189,0.90625,1,1,0,0.0,57.522,0.442598,0.425289,0.0,0.745579,,,,0.205315,0.066607,0.015228,0.016591,3,0.0,0.8238701553099205,0.0,1.0,1.0,held_out_bulb,0.42954806212396823,4
bulb,7,bulb_seed7,direct_actuation,2,1,0.0,0.503046,0.699257,38.639,0.150998,0.935406,0.197745,0.94178,0.814815,1,7,0,0.0,55.257,0.4169,0.406231,0.0,0.949622,,,,0.448229,0.141907,0.039513,0.030127,1,0.17630500440634167,0.7721281656639146,1.0,0.24383574876634476,0.9954654811135614,held_out_bulb,0.503756842904737,2
bulb,8,bulb_seed8,direct_actuation,2,1,0.0,0.791859,1.569541,86.637,0.159141,0.904263,0.106874,0.917528,0.767361,1,6,0,0.0,55.199,0.419371,0.387585,0.0,0.976601,,,,0.563257,0.252164,0.015271,0.022026,2,1.0,1.0,0.9212411044403196,0.0,0.726587358781334,held_out_bulb,0.8921241104440321,1
cantaloupes,5,cantaloupes_seed5,collision,2,1,0.0,0.95028,3.001347,144.557,0.898174,0.891444,0.488836,0.864304,0.68287,1,18,18,0.955,48.164,0.898174,0.0,0.0,0.990803,0.993489,0.972356,0.12041,1.051982,0.026104,0.028401,0.074296,4,0.5539784780344813,1.0,0.853742735045075,0.9265540435107542,1.0,held_out_cantaloupes,0.8221894343191536,1
cantaloupes,6,cantaloupes_seed6,collision,2,1,0.0,0.973408,3.627148,141.335,0.833818,0.998294,0.497779,0.684006,0.365741,2,19,19,0.0,38.966,0.833818,0.0,0.0,0.999387,0.998906,0.997957,0.12,2.230712,0.02651,0.001707,0.15615,1,1.0,0.18995053305977516,1.0,1.0,0.0,held_out_cantaloupes,0.8189950533059775,2
cantaloupes,7,cantaloupes_seed7,collision,2,1,0.0,0.921554,2.545345,130.456,0.829767,0.463229,0.439646,0.686188,0.322917,5,17,17,7.64,51.253,0.84284,0.006253,0.0,0.97915,0.996868,0.940446,0.128132,0.872083,0.017179,0.018435,0.166666,2,0.0,0.13896056490490571,0.2675980957126158,0.5225725384558524,0.012102186380326004,held_out_cantaloupes,0.25089510008212573,3
cantaloupes,8,cantaloupes_seed8,collision,2,1,0.0,0.951953,3.035586,147.372,0.818727,0.267732,0.376016,0.811199,0.632716,1,24,18,0.0,48.548,0.818727,0.0,0.0,0.273857,0.977634,0.988739,0.12137,0.165791,0.069826,0.022066,0.066285,3,0.5862421413969998,0.0,0.0,0.0,0.7054598498042132,held_out_cantaloupes,0.24641862739952128,4
golf,5,golf_seed5,strike,2,1,185.0,0.985349,4.223255,104.188,0.315699,1.0,0.0,0.910062,0.152392,2,6,7,0.0,24.67,0.644532,0.285494,0.0,1.0,,,,4.239767,0.001679,0.000451,4.850383,2,1.0,0.0,1.0,0.0,0.3271168095912086,held_out_golf,0.5327116809591209,3
golf,6,golf_seed6,strike,2,1,185.0,0.966793,3.405002,128.595,0.910482,0.711317,0.171154,0.950472,0.362654,1,8,10,1.91,37.767,0.910482,0.0,0.029255,0.999999,,,,2.025663,0.031498,0.00034,0.503267,3,0.5055952254076518,0.9918521717814328,0.711317,0.5946481182945133,1.0,held_out_golf,0.69066984817825,1
golf,7,golf_seed7,strike,2,1,185.0,0.97336,3.625353,127.74,0.915368,1.0,0.161334,0.890417,0.341821,8,16,16,0.0,35.235,0.915368,0.0,0.0,1.0,,,,3.254816,0.012937,0.003124,0.56318,1,0.6805659170840876,1.0,1.0,0.5605300461393073,0.0,held_out_golf,0.6843323760614966,2
golf,8,golf_seed8,strike,2,1,185.0,0.947817,2.952994,125.209,0.900108,0.0,0.287824,0.9225,0.445602,8,19,4,105.05,42.401,0.900108,0.0,0.0,0.025823,,,,0.003924,0.035598,0.002087,0.313252,4,0.0,0.9745526281998902,0.0,1.0,0.5342269586212637,held_out_golf,0.4483332215021045,4
paw_tool1,5,paw_tool1_seed5,direct_actuation,2,1,335.0,0.999254,7.201153,174.572,0.845159,0.854139,0.000121,0.885972,0.197145,1,7,0,0.0,24.242,0.845159,0.0,0.0,0.999928,,,,1.430948,0.015856,0.00052,2.96205,1,0.9881295637521059,1.0,0.9253102102433814,0.0009079585190521213,1.0,held_out_paw_tool1,0.8878736423770857,1
paw_tool1,6,paw_tool1_seed6,direct_actuation,2,1,335.0,0.999571,7.755197,170.077,0.681822,0.653095,0.133266,0.778241,0.207176,2,10,0,0.955,21.931,0.681822,0.0,0.0,0.998908,,,,1.022965,0.014117,0.00088,0.631222,3,1.0,0.0,0.0,1.0,0.7625579934540405,held_out_paw_tool1,0.6525115986908081,2
paw_tool1,7,paw_tool1_seed7,direct_actuation,2,1,335.0,0.972866,3.606962,100.676,0.81082,0.870367,0.0,0.432257,0.167824,3,9,0,0.0,27.911,0.81082,0.0,0.0,0.998025,,,,0.934059,0.038435,0.000763,7.252785,4,0.0,0.7897659440298278,1.0,0.0,0.0,held_out_paw_tool1,0.25795318880596557,4
paw_tool1,8,paw_tool1_seed8,direct_actuation,2,1,335.0,0.984237,4.150082,111.563,0.797727,0.867531,0.0,0.452191,0.167438,7,9,0,0.0,26.882,0.797727,0.0,0.0,0.999998,,,,1.9698,0.030057,0.002155,8.251693,2,0.4258004119078835,0.7096065190373275,0.9869472366434702,0.0,0.04393506937174219,held_out_paw_tool1,0.41972320610931435,3
paw_tool2,5,paw_tool2_seed5,direct_actuation,2,1,135.0,0.998986,6.894187,298.967,0.861345,0.999839,0.457819,0.90313,0.880401,4,4,0,0.0,43.365,0.861345,0.0,0.0,0.999843,,,,1.313681,0.029623,0.026225,0.094017,3,0.09635036496352802,1.0,0.9765333333333686,0.7929891423013553,1.0,held_out_paw_tool2,0.8174440267502424,1
paw_tool2,6,paw_tool2_seed6,direct_actuation,2,1,135.0,0.999605,7.836508,311.574,0.735226,0.999294,0.417869,0.80902,0.505015,1,1,0,0.0,39.759,0.812512,0.039981,0.0,0.999294,,,,1.088423,0.041504,0.02743,0.088751,1,1.0,0.8034745942307212,0.6858666666666863,0.0,0.1870951023581239,held_out_paw_tool2,0.45469412608974663,4
paw_tool2,7,paw_tool2_seed7,direct_actuation,2,1,135.0,0.99892,6.830788,292.037,0.219601,0.999883,0.431388,0.78736,0.465278,1,6,0,0.0,42.753,0.53248,0.354294,0.0,0.999984,,,,1.651956,0.021377,0.046115,0.069526,4,0.0,0.0,1.0,0.26834593779154015,0.0,held_out_paw_tool2,0.5073383751166161,3
paw_tool2,8,paw_tool2_seed8,direct_actuation,2,1,135.0,0.999234,7.174718,314.279,0.820272,0.998008,0.468248,0.878198,0.549383,1,2,0,0.0,43.804,0.820272,0.0,0.0,0.998593,,,,0.984906,0.016919,0.039214,0.077087,2,0.45839416058387583,0.935997843376798,0.0,1.0,0.7846419625118775,held_out_paw_tool2,0.5394392003960674,2
pendulum,5,pendulum_seed5,strike,2,1,0.0,0.658324,1.073891,94.796,0.250731,0.972811,0.036779,0.805189,0.387346,2,9,8,0.0,88.273,0.391353,0.178092,0.0,0.972811,,,,0.54074,0.010148,0.072548,0.832056,1,0.7662115931010935,1.0,0.6337111737327035,0.0,0.41067894183245374,held_out_pendulum,0.6244158416066549,1
pendulum,6,pendulum_seed6,strike,2,1,0.0,0.597421,0.909864,80.217,0.190823,0.977073,0.257627,0.857295,0.479552,1,17,16,0.0,88.163,0.305507,0.188252,0.0,0.977073,,,,0.566314,0.00886,0.009036,0.398335,3,0.373828223151411,0.1205906962406236,0.7011841813633906,1.0,1.0,held_out_pendulum,0.6046812091148419,2
pendulum,7,pendulum_seed7,strike,2,1,0.0,0.539398,0.775221,65.708,0.210181,0.995948,0.073191,0.768878,0.404707,5,13,13,0.0,84.761,0.377382,0.234117,0.0,0.995948,,,,0.826268,0.012516,0.058155,0.644336,4,0.0,0.4047531670654554,1.0,0.16487357820763607,0.0,held_out_pendulum,0.45696267452730915,3
pendulum,8,pendulum_seed8,strike,2,1,0.0,0.694611,1.186169,99.48,0.182608,0.932782,0.153186,0.816921,0.37963,1,16,14,0.955,83.867,0.30256,0.201974,0.0,0.987432,,,,0.656489,0.015557,0.06251,0.375515,2,1.0,0.0,0.0,0.5270910309353039,0.5433683567639709,held_out_pendulum,0.40704593876992745,4
pool,5,pool_seed5,collision,2,1,180.0,0.873016,2.063694,122.541,0.92691,0.214321,0.819423,0.889499,0.999614,6,7,7,0.955,59.38,0.92691,0.0,0.405213,0.978806,0.800271,0.999557,0.378099,1.215314,0.005452,0.011684,0.012902,1,0.16179017909628907,0.9227999249796822,0.0,0.8799768801547254,1.0,held_out_pool,0.40481011027327257,3
pool,6,pool_seed6,collision,2,1,180.0,0.852374,1.91307,126.184,0.930976,0.389948,0.841019,0.857793,1.0,2,5,5,0.955,65.959,0.930976,0.0,0.28084,0.997927,0.975551,0.999541,1.648967,1.337062,0.005901,0.004865,0.025761,4,0.0,0.9397461812574242,0.6216642891781207,1.0,0.1509065102702136,held_out_pool,0.5804739048791786,2
pool,7,pool_seed7,collision,2,1,180.0,0.881899,2.136211,156.142,0.705498,0.248168,0.802661,0.852158,0.986497,5,7,7,0.0,73.093,0.833243,0.066569,0.316989,0.997447,0.643954,0.992353,0.897433,1.569528,0.011842,0.006314,0.020647,2,0.2314143512168359,0.0,0.11980772430100065,0.7868194651312718,0.0,held_out_pool,0.3414124621947325,4
pool,8,pool_seed8,collision,2,1,180.0,0.979959,3.91,221.276,0.945433,0.496832,0.661087,0.883643,0.799383,6,7,7,0.0,56.592,0.945433,0.0,0.224813,0.999561,0.975675,0.999669,1.41481,1.491697,0.026873,0.015965,0.013079,3,1.0,1.0,1.0,0.0,0.8431750622639974,held_out_pool,0.7,1
tennis,5,tennis_seed5,collision,2,1,175.0,0.874726,2.077252,109.869,0.815359,0.721991,0.740441,0.926806,0.840278,3,27,20,0.0,52.891,0.815359,0.0,0.0,0.762267,0.947164,0.971881,0.132228,0.275587,0.006061,0.00809,0.05704,2,0.26762479479540374,1.0,0.0,1.0,0.9873068082242232,held_out_tennis,0.9254931603019627,1
tennis,6,tennis_seed6,collision,2,1,175.0,0.890685,2.213517,103.268,0.587732,0.895737,0.467984,0.615832,0.362654,10,20,20,0.955,46.653,0.587732,0.0,0.0,0.996395,0.995862,0.98988,0.12,1.121968,0.037709,0.010485,0.117601,3,0.3889159117164223,0.060064499345509455,0.6389670377357796,0.37101890242213253,0.0,held_out_tennis,0.3357067131093483,3
tennis,7,tennis_seed7,collision,2,1,175.0,0.971089,3.54355,134.762,0.637355,0.993908,0.307269,0.87244,0.353009,15,23,23,0.0,38.03,0.637355,0.0,0.0,0.999981,0.993927,0.999935,0.12,2.773805,0.016627,0.002196,0.341684,1,1.0,0.2649717350819457,1.0,0.0,0.8147009892942865,held_out_tennis,0.18147009892942867,4
tennis,8,tennis_seed8,collision,2,1,175.0,0.839513,1.829544,97.817,0.573186,0.829115,0.669956,0.930804,0.625386,19,38,36,0.0,53.465,0.74006,0.102209,0.0,0.90633,0.914804,0.996073,0.133663,0.368427,0.007986,0.020468,0.043991,4,0.0,0.0,0.3939584505566037,0.8372817264273775,1.0,held_out_tennis,0.769825381141902,2
toycar,5,toycar_seed5,single_target,1,0,225.0,0.944475,2.890915,293.964,0.785185,,0.717326,0.914189,0.81713,-1,22,-1,,101.685,0.785185,0.0,,,,,,,0.018737,0.007809,0.034747,3,0.0,1.0,0.5,1.0,0.0,held_out_toycar,0.55,1
toycar,6,toycar_seed6,single_target,1,0,225.0,0.988006,4.423311,418.075,0.711765,,0.493164,0.955261,0.679398,-1,22,-1,,94.516,0.711765,0.0,,,,,,,0.060086,0.008841,0.045939,2,0.9957681398115109,0.0,0.5,0.0,0.7918867851771878,held_out_toycar,0.44873044194345324,4
toycar,7,toycar_seed7,single_target,1,0,225.0,0.988191,4.438926,411.751,0.719107,,0.540109,0.966055,0.638503,-1,19,-1,,92.759,0.719107,0.0,,,,,,,0.046261,0.010087,0.04834,4,1.0,0.10000000000000091,0.5,0.20942443411461334,1.0,held_out_toycar,0.5228273302343841,3
toycar,8,toycar_seed8,single_target,1,0,225.0,0.980564,3.940647,382.753,0.741941,,0.575792,0.955822,0.763117,-1,21,-1,,97.13,0.741941,0.0,,,,,,,0.037224,0.008547,0.05625,1,0.8255329856345495,0.41100517570144324,0.5,0.3686084171268992,0.8027031195773714,held_out_toycar,0.549342938398579,2
