pairwise_accuracy,spearman,kendall,verifier_seed,verifier_human_rank,human_best_seed,top1_correct,baseline_human_rank,rank_improvement_over_baseline,held_out_scenario,interaction_mode,fit_scope,num_fit_scenarios
0.16666666666666666,-0.7999999999999999,-0.6666666666666669,7,4,6,0,3,-1,ball_dominos,collision,same_interaction_mode,3
0.6666666666666666,0.6000000000000001,0.3333333333333334,8,2,7,0,4,2,bulb,direct_actuation,same_interaction_mode,2
0.5,-0.19999999999999998,0.0,5,4,6,0,4,0,cantaloupes,collision,same_interaction_mode,3
0.6666666666666666,0.39999999999999997,0.3333333333333334,6,3,7,0,2,-1,golf,strike,same_interaction_mode,1
0.8333333333333334,0.7999999999999999,0.6666666666666669,5,1,5,1,1,0,paw_tool1,direct_actuation,same_interaction_mode,2
0.3333333333333333,-0.39999999999999997,-0.3333333333333334,5,3,6,0,3,0,paw_tool2,direct_actuation,same_interaction_mode,2
0.6666666666666666,0.39999999999999997,0.3333333333333334,5,1,5,1,1,0,pendulum,strike,same_interaction_mode,1
0.3333333333333333,-0.6000000000000001,-0.3333333333333334,8,3,5,0,1,-2,pool,collision,same_interaction_mode,3
0.3333333333333333,-0.39999999999999997,-0.3333333333333334,5,2,7,0,2,0,tennis,collision,same_interaction_mode,3
0.5,0.0,0.0,5,3,8,0,3,0,toycar,single_target,global_fallback_no_same_mode_training_scenario,9
